system:index,DetailedQA,NDVI,longitude,latitud
148,2116,0.3141,-36.37919368488046,-6.932825057951938
149,2116,0.311,-36.37013423948181,-6.932825057951938
150,2185,0.305,-36.36107479408316,-6.932825057951938
151,2185,0.3014,-36.3520153486845,-6.932825057951938
152,2441,0.3508,-36.342955903285855,-6.932825057951938
153,2441,0.3453,-36.3338964578872,-6.932825057951938
154,2116,0.3147,-36.47048464999097,-6.941818263874536
155,35217,0.2968,-36.461425031572276,-6.941818263874536
156,2372,0.328,-36.45236541315357,-6.941818263874536
157,2372,0.3181,-36.443305794734876,-6.941818263874536
158,2112,0.4193,-36.43424617631617,-6.941818263874536
159,2372,0.3022,-36.42518655789747,-6.941818263874536
160,2185,0.3159,-36.41612693947877,-6.941818263874536
161,2185,0.3125,-36.407067321060076,-6.941818263874536
162,2185,0.3386,-36.398007702641365,-6.941818263874536
163,2185,0.351,-36.388948084222676,-6.941818263874536
164,2185,0.3428,-36.37988846580397,-6.941818263874536
165,2185,0.3643,-36.37082884738527,-6.941818263874536
166,2441,0.4184,-36.36176922896657,-6.941818263874536
167,2441,0.3415,-36.35270961054787,-6.941818263874536
168,2441,0.3892,-36.343649992129166,-6.941818263874536
169,2441,0.5496,-36.334590373710476,-6.941818263874536
170,2116,0.3145,-36.4711820862692,-6.9508114697971335
171,2372,0.2865,-36.46212229460063,-6.9508114697971335
172,2372,0.2983,-36.45306250293207,-6.9508114697971335
173,2372,0.2837,-36.4440027112635,-6.9508114697971335
174,2112,0.3365,-36.434942919594945,-6.9508114697971335
175,2372,0.4597,-36.425883127926376,-6.9508114697971335
176,2372,0.3557,-36.416823336257806,-6.9508114697971335
177,2441,0.3127,-36.407763544589244,-6.9508114697971335
178,2186,0.3984,-36.398703752920675,-6.9508114697971335
179,2372,0.3531,-36.38964396125211,-6.9508114697971335
180,2058,0.3416,-36.38058416958355,-6.9508114697971335
